T          V        N   RS       MinV       MaxV
1355308853 1.795350 005 8.976850 1.795250 1.795450
1355308853 1.795450 006 10.772300 1.795250 1.795450
1355308855 1.795350 007 12.567650 1.795250 1.795450
1355308856 1.795450 008 14.363100 1.795250 1.795450
1355308863 1.795350 009 16.158450 1.795250 1.795450
1355308889 1.795250 009 16.158450 1.795250 1.795450
1355308938 1.795450 002 3.590700 1.795250 1.795450
1355308962 1.795650 002 3.591100 1.795450 1.795650
1355309030 1.795750 001 1.795750 1.795750 1.795750
1355309054 1.795950 002 3.591700 1.795750 1.795950
1355309083 1.796350 003 5.388050 1.795750 1.796350
1355309084 1.796250 004 7.184300 1.795750 1.796350
1355309099 1.796150 004 7.184700 1.795950 1.796350
1355309117 1.796250 004 7.185000 1.796150 1.796350
1355309188 1.796150 001 1.796150 1.796150 1.796150
1355309225 1.796050 002 3.592200 1.796050 1.796150
1355309293 1.795850 001 1.795850 1.795850 1.795850
1355309299 1.795950 002 3.591800 1.795850 1.795950
1355309353 1.795850 002 3.591800 1.795850 1.795950
1355309377 1.795750 002 3.591600 1.795750 1.795850
1355309419 1.795850 002 3.591600 1.795750 1.795850
1355309423 1.795750 003 5.387350 1.795750 1.795850
1355309489 1.795850 001 1.795850 1.795850 1.795850
1355309514 1.795750 002 3.591600 1.795750 1.795850
1355309533 1.795950 003 5.387550 1.795750 1.795950
1355309600 1.795850 001 1.795850 1.795850 1.795850
1355309681 1.795750 001 1.795750 1.795750 1.795750
1355309689 1.795850 002 3.591600 1.795750 1.795850
1355309705 1.795750 003 5.387350 1.795750 1.795850
1355309706 1.795650 004 7.183000 1.795650 1.795850
1355309760 1.795750 003 5.387150 1.795650 1.795750
1355309782 1.795650 002 3.591400 1.795650 1.795750
1355309836 1.795550 002 3.591200 1.795550 1.795650
1355309989 1.795350 001 1.795350 1.795350 1.795350
1355309994 1.795250 002 3.590600 1.795250 1.795350
1355310025 1.795150 003 5.385750 1.795150 1.795350
1355310026 1.795350 004 7.181100 1.795150 1.795350
1355310087 1.795450 001 1.795450 1.795450 1.795450
1355310128 1.795350 002 3.590800 1.795350 1.795450
1355310128 1.795250 003 5.386050 1.795250 1.795450
1355310149 1.795150 003 5.385750 1.795150 1.795350
1355310163 1.795250 004 7.181000 1.795150 1.795350
1355310243 1.795350 001 1.795350 1.795350 1.795350
1355310282 1.795250 002 3.590600 1.795250 1.795350
1355310368 1.795450 001 1.795450 1.795450 1.795450
1355310420 1.795550 002 3.591000 1.795450 1.795550
1355310421 1.795450 003 5.386450 1.795450 1.795550
1355310428 1.795350 003 5.386350 1.795350 1.795550
1355310445 1.795150 004 7.181500 1.795150 1.795550
1355310456 1.795250 005 8.976750 1.795150 1.795550
1355310500 1.795150 003 5.385550 1.795150 1.795250
1355310573 1.795250 001 1.795250 1.795250 1.795250
1355310602 1.795350 002 3.590600 1.795250 1.795350
1355310638 1.795550 002 3.590900 1.795350 1.795550
1355310659 1.795750 003 5.386650 1.795350 1.795750
1355310672 1.795850 003 5.387150 1.795550 1.795850
1355310691 1.795750 004 7.182900 1.795550 1.795850
1355310700 1.795650 004 7.183000 1.795650 1.795850
1355310701 1.795750 005 8.978750 1.795650 1.795850
1355310718 1.795850 006 10.774600 1.795650 1.795850
1355310718 1.795650 007 12.570250 1.795650 1.795850
1355310732 1.795750 006 10.774400 1.795650 1.795850
1355310750 1.795650 007 12.570050 1.795650 1.795850
1355310754 1.795750 007 12.570050 1.795650 1.795850
1355310868 1.795550 001 1.795550 1.795550 1.795550
1355310868 1.795450 002 3.591000 1.795450 1.795550
1355310877 1.795250 003 5.386250 1.795250 1.795550
1355310884 1.795450 004 7.181700 1.795250 1.795550
1355310885 1.795650 005 8.977350 1.795250 1.795650
1355310890 1.795550 006 10.772900 1.795250 1.795650
1355310901 1.795450 007 12.568350 1.795250 1.795650
1355310902 1.795550 008 14.363900 1.795250 1.795650
1355310954 1.795650 003 5.386650 1.795450 1.795650
1355310968 1.795550 002 3.591200 1.795550 1.795650
1355311077 1.795750 001 1.795750 1.795750 1.795750
1355311087 1.795650 002 3.591400 1.795650 1.795750
1355311092 1.795750 003 5.387150 1.795650 1.795750
1355311108 1.795650 004 7.182800 1.795650 1.795750
1355311116 1.795550 005 8.978350 1.795550 1.795750
1355311116 1.795650 006 10.774000 1.795550 1.795750
1355311143 1.795550 006 10.773800 1.795550 1.795750
1355311162 1.795450 005 8.977850 1.795450 1.795650
1355311163 1.795550 006 10.773400 1.795450 1.795650
1355311188 1.795650 004 7.182200 1.795450 1.795650
1355311190 1.795750 005 8.977950 1.795450 1.795750
1355311191 1.795850 006 10.773800 1.795450 1.795850
1355311199 1.795750 007 12.569550 1.795450 1.795850
1355311203 1.795550 007 12.569550 1.795450 1.795850
1355311207 1.795750 008 14.365300 1.795450 1.795850
1355311208 1.795650 009 16.160950 1.795450 1.795850
1355311292 1.795750 001 1.795750 1.795750 1.795750
1355311293 1.795650 002 3.591400 1.795650 1.795750
1355311307 1.795550 003 5.386950 1.795550 1.795750
1355311307 1.795450 004 7.182400 1.795450 1.795750
1355311311 1.795550 005 8.977950 1.795450 1.795750
1355311317 1.795450 006 10.773400 1.795450 1.795750
1355311379 1.795650 001 1.795650 1.795650 1.795650
1355311380 1.795550 002 3.591200 1.795550 1.795650
1355311400 1.795650 003 5.386850 1.795550 1.795650
1355311420 1.795450 004 7.182300 1.795450 1.795650
1355311626 1.795750 001 1.795750 1.795750 1.795750
1355311641 1.795650 002 3.591400 1.795650 1.795750
1355311663 1.795750 003 5.387150 1.795650 1.795750
1355311674 1.795650 004 7.182800 1.795650 1.795750
1355311674 1.795750 005 8.978550 1.795650 1.795750
1355311759 1.795850 001 1.795850 1.795850 1.795850
1355311772 1.795750 002 3.591600 1.795750 1.795850
1355311932 1.795650 001 1.795650 1.795650 1.795650
1355311938 1.795750 002 3.591400 1.795650 1.795750
1355311938 1.795850 003 5.387250 1.795650 1.795850
1355311974 1.795750 004 7.183000 1.795650 1.795850
1355311982 1.795850 005 8.978850 1.795650 1.795850
1355312020 1.795950 003 5.387550 1.795750 1.795950
1355312099 1.795850 001 1.795850 1.795850 1.795850
1355312100 1.795750 002 3.591600 1.795750 1.795850
1355312106 1.795850 003 5.387450 1.795750 1.795850
1355312116 1.796050 004 7.183500 1.795750 1.796050
1355312159 1.795950 004 7.183600 1.795750 1.796050
1355312189 1.796050 002 3.592000 1.795950 1.796050
1355312216 1.796250 003 5.388250 1.795950 1.796250
1355312226 1.796450 003 5.388750 1.796050 1.796450
1355312227 1.796650 004 7.185400 1.796050 1.796650
1355312227 1.796550 005 8.981950 1.796050 1.796650
1355312252 1.796650 005 8.982550 1.796250 1.796650
1355312264 1.796550 006 10.779100 1.796250 1.796650
1355312271 1.796650 007 12.575750 1.796250 1.796650
1355312272 1.796550 008 14.372300 1.796250 1.796650
1355312278 1.796650 008 14.372700 1.796450 1.796650
1355312304 1.796750 006 10.779800 1.796550 1.796750
1355312319 1.797150 006 10.780300 1.796550 1.797150
1355312388 1.797650 001 1.797650 1.797650 1.797650
1355312470 1.798050 001 1.798050 1.798050 1.798050
1355312474 1.798150 002 3.596200 1.798050 1.798150
1355312497 1.797950 003 5.394150 1.797950 1.798150
1355312505 1.797750 004 7.191900 1.797750 1.798150
1355312530 1.797550 004 7.191400 1.797550 1.798150
1355312582 1.797450 002 3.595000 1.797450 1.797550
1355312637 1.797850 002 3.595300 1.797450 1.797850
1355312641 1.797650 003 5.392950 1.797450 1.797850
1355312668 1.797550 003 5.393050 1.797550 1.797850
1355312669 1.797650 004 7.190700 1.797550 1.797850
1355312685 1.797750 005 8.988450 1.797550 1.797850
1355312687 1.797550 006 10.786000 1.797550 1.797850
1355312692 1.797450 007 12.583450 1.797450 1.797850
1355312693 1.797550 008 14.381000 1.797450 1.797850
1355312698 1.797650 008 14.380800 1.797450 1.797750
1355312725 1.797550 008 14.380700 1.797450 1.797750
1355312733 1.797450 007 12.582950 1.797450 1.797750
1355312733 1.797550 008 14.380500 1.797450 1.797750
1355312736 1.797650 009 16.178150 1.797450 1.797750
1355312771 1.797750 005 8.987950 1.797450 1.797750
1355312791 1.797550 005 8.987950 1.797450 1.797750
1355312792 1.797650 006 10.785600 1.797450 1.797750
1355312932 1.797950 001 1.797950 1.797950 1.797950
1355312948 1.797850 002 3.595800 1.797850 1.797950
1355312951 1.797950 003 5.393750 1.797850 1.797950
1355312958 1.798150 004 7.191900 1.797850 1.798150
1355312979 1.797850 005 8.989750 1.797850 1.798150
1355312980 1.797950 006 10.787700 1.797850 1.798150
1355312980 1.797850 007 12.585550 1.797850 1.798150
1355313022 1.797950 004 7.191600 1.797850 1.797950
1355313072 1.797850 002 3.595800 1.797850 1.797950
1355313088 1.797650 002 3.595500 1.797650 1.797850
1355313107 1.797750 003 5.393250 1.797650 1.797850
1355313108 1.797650 004 7.190900 1.797650 1.797850
1355313116 1.797750 005 8.988650 1.797650 1.797850
1355313133 1.797850 005 8.988650 1.797650 1.797850
1355313177 1.797950 002 3.595800 1.797850 1.797950
1355313188 1.798050 003 5.393850 1.797850 1.798050
1355313189 1.797950 004 7.191800 1.797850 1.798050
1355313250 1.798050 001 1.798050 1.798050 1.798050
1355313259 1.798150 002 3.596200 1.798050 1.798150
1355313266 1.798050 003 5.394250 1.798050 1.798150
1355313266 1.797950 004 7.192200 1.797950 1.798150
1355313292 1.798150 005 8.990350 1.797950 1.798150
1355313302 1.798250 006 10.788600 1.797950 1.798250
1355313302 1.798150 007 12.586750 1.797950 1.798250
1355313325 1.798250 006 10.788800 1.797950 1.798250
1355313337 1.798150 005 8.990950 1.798150 1.798250
1355313349 1.798350 006 10.789300 1.798150 1.798350
1355313352 1.798450 006 10.789600 1.798150 1.798450
1355313355 1.798650 007 12.588250 1.798150 1.798650
1355313375 1.798450 006 10.790300 1.798150 1.798650
1355313376 1.798550 007 12.588850 1.798150 1.798650
1355313385 1.798450 007 12.589050 1.798150 1.798650
1355313385 1.798550 008 14.387600 1.798150 1.798650
1355313399 1.798450 008 14.387900 1.798350 1.798650
1355313410 1.798250 008 14.387800 1.798250 1.798650
1355313410 1.798350 009 16.186150 1.798250 1.798650
1355313411 1.798250 010 17.984400 1.798250 1.798650
1355313420 1.798350 009 16.185650 1.798250 1.798550
1355313432 1.798450 010 17.984100 1.798250 1.798550
1355313484 1.798350 002 3.596800 1.798350 1.798450
1355313509 1.798450 002 3.596800 1.798350 1.798450
1355313572 1.798350 001 1.798350 1.798350 1.798350
1355313592 1.798550 002 3.596900 1.798350 1.798550
1355313600 1.798450 003 5.395350 1.798350 1.798550
1355313603 1.798550 004 7.193900 1.798350 1.798550
1355313646 1.798350 004 7.193900 1.798350 1.798550
1355313647 1.798450 005 8.992350 1.798350 1.798550
1355313670 1.798350 003 5.395150 1.798350 1.798450
1355313676 1.798250 004 7.193400 1.798250 1.798450
1355313753 1.798050 001 1.798050 1.798050 1.798050
1355313753 1.797950 002 3.596000 1.797950 1.798050
1355313824 1.797850 001 1.797850 1.797850 1.797850
1355313841 1.798150 002 3.596000 1.797850 1.798150
1355313850 1.798050 003 5.394050 1.797850 1.798150
1355313851 1.798150 004 7.192200 1.797850 1.798150
1355313858 1.798050 005 8.990250 1.797850 1.798150
1355313859 1.798150 006 10.788400 1.797850 1.798150
1355313937 1.798250 001 1.798250 1.798250 1.798250
1355313948 1.798350 002 3.596600 1.798250 1.798350
1355313953 1.798150 003 5.394750 1.798150 1.798350
1355313956 1.797950 004 7.192700 1.797950 1.798350
1355313959 1.798050 005 8.990750 1.797950 1.798350
1355313963 1.797950 006 10.788700 1.797950 1.798350
1355313973 1.797850 007 12.586550 1.797850 1.798350
1355314004 1.798050 007 12.586350 1.797850 1.798350
1355314136 1.797950 001 1.797950 1.797950 1.797950
1355314136 1.798050 002 3.596000 1.797950 1.798050
1355314164 1.798150 003 5.394150 1.797950 1.798150
1355314200 1.797950 002 3.596100 1.797950 1.798150
1355314251 1.797850 002 3.595800 1.797850 1.797950
1355314265 1.797750 002 3.595600 1.797750 1.797850
1355314289 1.797650 003 5.393250 1.797650 1.797850
1355314476 1.797950 001 1.797950 1.797950 1.797950
1355314488 1.798050 002 3.596000 1.797950 1.798050
1355314488 1.798250 003 5.394250 1.797950 1.798250
1355314499 1.798150 004 7.192400 1.797950 1.798250
1355314506 1.798250 005 8.990650 1.797950 1.798250
1355314523 1.798350 006 10.789000 1.797950 1.798350
1355314581 1.798150 002 3.596500 1.798150 1.798350
1355314601 1.797850 002 3.596000 1.797850 1.798150
1355314622 1.798050 003 5.394050 1.797850 1.798150
1355314650 1.798150 003 5.394050 1.797850 1.798150
1355314703 1.798250 002 3.596400 1.798150 1.798250
1355314703 1.798150 003 5.394550 1.798150 1.798250
1355314712 1.798250 003 5.394650 1.798150 1.798250
1355314717 1.797950 004 7.192600 1.797950 1.798250
1355314717 1.798150 005 8.990750 1.797950 1.798250
1355314731 1.798050 006 10.788800 1.797950 1.798250
1355314838 1.798150 001 1.798150 1.798150 1.798150
1355314838 1.798250 002 3.596400 1.798150 1.798250
1355314901 1.798050 001 1.798050 1.798050 1.798050
1355314902 1.798150 002 3.596200 1.798050 1.798150
1355314911 1.798250 003 5.394450 1.798050 1.798250
1355314912 1.798150 004 7.192600 1.798050 1.798250
1355314927 1.798250 005 8.990850 1.798050 1.798250
1355314995 1.798150 001 1.798150 1.798150 1.798150
1355315034 1.798250 002 3.596400 1.798150 1.798250
1355315078 1.798150 002 3.596400 1.798150 1.798250
1355315158 1.797750 001 1.797750 1.797750 1.797750
1355315194 1.797650 002 3.595400 1.797650 1.797750
1355315259 1.797550 001 1.797550 1.797550 1.797550
1355315295 1.797650 002 3.595200 1.797550 1.797650
1355315349 1.797850 002 3.595500 1.797650 1.797850
1355315372 1.797950 002 3.595800 1.797850 1.797950
1355315394 1.798150 003 5.393950 1.797850 1.798150
1355315419 1.797950 003 5.394050 1.797950 1.798150
1355315441 1.797850 003 5.393950 1.797850 1.798150
1355315465 1.797750 003 5.393550 1.797750 1.797950
1355315492 1.797850 003 5.393450 1.797750 1.797850
1355315492 1.797550 004 7.191000 1.797550 1.797850
1355315507 1.797750 004 7.190900 1.797550 1.797850
1355315560 1.797650 002 3.595400 1.797650 1.797750
1355315674 1.797750 001 1.797750 1.797750 1.797750
1355315675 1.797550 002 3.595300 1.797550 1.797750
1355315687 1.797450 003 5.392750 1.797450 1.797750
1355315693 1.797250 004 7.190000 1.797250 1.797750
1355315698 1.797350 005 8.987350 1.797250 1.797750
1355315743 1.797150 004 7.189200 1.797150 1.797450
1355315767 1.797050 002 3.594200 1.797050 1.797150
1355315786 1.796950 003 5.391150 1.796950 1.797150
1355315874 1.797050 001 1.797050 1.797050 1.797050
1355315887 1.796950 002 3.594000 1.796950 1.797050
1355315957 1.796750 001 1.796750 1.796750 1.796750
1355315980 1.796850 002 3.593600 1.796750 1.796850
1355316056 1.796950 001 1.796950 1.796950 1.796950
1355316090 1.796850 002 3.593800 1.796850 1.796950
1355316112 1.796750 003 5.390550 1.796750 1.796950
1355316214 1.796950 001 1.796950 1.796950 1.796950
1355316218 1.797050 002 3.594000 1.796950 1.797050
1355316262 1.797350 003 5.391350 1.796950 1.797350
1355316306 1.797550 002 3.594900 1.797350 1.797550
1355316320 1.797450 003 5.392350 1.797350 1.797550
1355316323 1.797550 003 5.392550 1.797450 1.797550
1355316333 1.797650 004 7.190200 1.797450 1.797650
1355316352 1.797750 005 8.987950 1.797450 1.797750
1355316352 1.797650 006 10.785600 1.797450 1.797750
1355316395 1.797450 003 5.392850 1.797450 1.797750
1355316395 1.797550 004 7.190400 1.797450 1.797750
1355316395 1.797650 005 8.988050 1.797450 1.797750
1355316395 1.797750 006 10.785800 1.797450 1.797750
1355316422 1.797650 005 8.988050 1.797450 1.797750
1355316453 1.797550 006 10.785600 1.797450 1.797750
1355316454 1.797450 007 12.583050 1.797450 1.797750
1355316474 1.797350 004 7.190000 1.797350 1.797650
1355316474 1.797450 005 8.987450 1.797350 1.797650
1355316534 1.797250 001 1.797250 1.797250 1.797250
1355316535 1.797350 002 3.594600 1.797250 1.797350
1355316537 1.797450 003 5.392050 1.797250 1.797450
1355316537 1.797350 004 7.189400 1.797250 1.797450
1355316540 1.797450 005 8.986850 1.797250 1.797450
1355316548 1.797250 006 10.784100 1.797250 1.797450
1355316553 1.797450 007 12.581550 1.797250 1.797450
1355316558 1.797350 008 14.378900 1.797250 1.797450
1355316593 1.797450 009 16.176350 1.797250 1.797450
1355316594 1.797350 009 16.176450 1.797250 1.797450
1355316594 1.797450 010 17.973900 1.797250 1.797450
1355316602 1.797250 007 12.581550 1.797250 1.797450
1355316613 1.797350 006 10.784200 1.797250 1.797450
1355316659 1.797650 003 5.392250 1.797250 1.797650
1355316662 1.797750 003 5.392750 1.797350 1.797750
1355316671 1.797450 004 7.190200 1.797350 1.797750
1355316671 1.797550 005 8.987750 1.797350 1.797750
1355316679 1.797450 005 8.987850 1.797450 1.797750
1355316720 1.797350 005 8.987550 1.797350 1.797750
1355316720 1.797450 006 10.785000 1.797350 1.797750
1355316727 1.797250 006 10.784500 1.797250 1.797550
1355316769 1.797350 004 7.189400 1.797250 1.797450
1355316769 1.797250 005 8.986650 1.797250 1.797450
1355316818 1.797350 003 5.391950 1.797250 1.797350
1355316819 1.797450 004 7.189400 1.797250 1.797450
1355316905 1.797250 001 1.797250 1.797250 1.797250
1355317017 1.797350 001 1.797350 1.797350 1.797350
1355317023 1.797250 002 3.594600 1.797250 1.797350
1355317024 1.797150 003 5.391750 1.797150 1.797350
1355317034 1.797050 004 7.188800 1.797050 1.797350
1355317036 1.796950 005 8.985750 1.796950 1.797350
1355317038 1.797150 006 10.782900 1.796950 1.797350
1355317069 1.797050 007 12.579950 1.796950 1.797350
1355317079 1.796950 007 12.579550 1.796950 1.797250
1355317112 1.797050 003 5.391050 1.796950 1.797050
1355317113 1.796950 004 7.188000 1.796950 1.797050
1355317129 1.796850 004 7.187800 1.796850 1.797050
1355317141 1.796650 004 7.187500 1.796650 1.797050
1355317159 1.796550 005 8.984050 1.796550 1.797050
1355317171 1.796350 006 10.780400 1.796350 1.797050
1355317188 1.796250 005 8.982650 1.796250 1.796850
1355317225 1.796350 003 5.388950 1.796250 1.796350
1355317226 1.796450 004 7.185400 1.796250 1.796450
1355317227 1.796250 005 8.981650 1.796250 1.796450
1355317250 1.796350 004 7.185400 1.796250 1.796450
1355317285 1.796250 004 7.185300 1.796250 1.796450
1355317297 1.796450 003 5.389050 1.796250 1.796450
1355317308 1.796550 004 7.185600 1.796250 1.796550
1355317351 1.796650 003 5.389650 1.796450 1.796650
1355317497 1.796550 001 1.796550 1.796550 1.796550
1355317497 1.796450 002 3.593000 1.796450 1.796550
1355317537 1.796350 003 5.389350 1.796350 1.796550
1355317569 1.796450 002 3.592800 1.796350 1.796450
1355317611 1.796550 002 3.593000 1.796450 1.796550
1355317626 1.796650 003 5.389650 1.796450 1.796650
1355317663 1.796350 003 5.389550 1.796350 1.796650
1355317691 1.796250 002 3.592600 1.796250 1.796350
1355317692 1.796150 003 5.388750 1.796150 1.796350
1355317749 1.796250 003 5.388650 1.796150 1.796250
1355317749 1.796150 004 7.184800 1.796150 1.796250
1355317749 1.796250 005 8.981050 1.796150 1.796250
1355317792 1.796150 004 7.184800 1.796150 1.796250
1355317817 1.796250 002 3.592400 1.796150 1.796250
1355317819 1.796350 003 5.388750 1.796150 1.796350
1355317852 1.796250 003 5.388850 1.796250 1.796350
1355317880 1.796150 002 3.592400 1.796150 1.796250
1355317904 1.796250 003 5.388650 1.796150 1.796250
1355317926 1.796050 003 5.388450 1.796050 1.796250
1355317931 1.795950 004 7.184400 1.795950 1.796250
1355317933 1.795750 005 8.980150 1.795750 1.796250
1355317957 1.795650 005 8.979650 1.795650 1.796250
1355317977 1.795550 005 8.978950 1.795550 1.796050
1355317979 1.795450 006 10.774400 1.795450 1.796050
1355317985 1.795250 007 12.569650 1.795250 1.796050
1355318006 1.795550 005 8.977450 1.795250 1.795650
1355318007 1.795450 006 10.772900 1.795250 1.795650
1355318039 1.795550 004 7.181800 1.795250 1.795550
1355318042 1.795450 005 8.977250 1.795250 1.795550
1355318053 1.795550 005 8.977550 1.795450 1.795550
1355318064 1.795650 006 10.773200 1.795450 1.795650
1355318073 1.795850 005 8.978050 1.795450 1.795850
1355318077 1.795750 006 10.773800 1.795450 1.795850
1355318082 1.795650 007 12.569450 1.795450 1.795850
1355318086 1.795550 008 14.365000 1.795450 1.795850
1355318100 1.795350 008 14.364800 1.795350 1.795850
1355318108 1.795450 008 14.364800 1.795350 1.795850
1355318126 1.795350 007 12.568950 1.795350 1.795850
1355318127 1.795250 008 14.364200 1.795250 1.795850
1355318147 1.795550 005 8.976950 1.795250 1.795550
1355318161 1.795250 005 8.976850 1.795250 1.795550
1355318183 1.795150 005 8.976550 1.795150 1.795550
1355318192 1.795250 004 7.181200 1.795150 1.795550
1355318202 1.795150 005 8.976350 1.795150 1.795550
1355318210 1.795350 005 8.976150 1.795150 1.795350
1355318210 1.795450 006 10.771600 1.795150 1.795450
1355318216 1.795250 007 12.566850 1.795150 1.795450
1355318219 1.795450 008 14.362300 1.795150 1.795450
1355318239 1.795550 008 14.362600 1.795150 1.795550
1355318240 1.795450 009 16.158050 1.795150 1.795550
1355318240 1.795650 010 17.953700 1.795150 1.795650
1355318244 1.795550 010 17.954100 1.795150 1.795650
1355318252 1.795350 010 17.954200 1.795150 1.795650
1355318313 1.794850 001 1.794850 1.794850 1.794850
1355318355 1.794750 002 3.589600 1.794750 1.794850
1355318357 1.794650 003 5.384250 1.794650 1.794850
1355318362 1.794750 004 7.179000 1.794650 1.794850
1355318363 1.794650 005 8.973650 1.794650 1.794850
1355318393 1.794850 005 8.973650 1.794650 1.794850
1355318399 1.794950 006 10.768600 1.794650 1.794950
1355318415 1.795050 006 10.768900 1.794650 1.795050
1355318418 1.794950 006 10.769200 1.794650 1.795050
1355318443 1.794750 005 8.974550 1.794750 1.795050
1355318476 1.794650 003 5.384350 1.794650 1.794950
1355318489 1.794450 003 5.383850 1.794450 1.794750
1355318496 1.794250 004 7.178100 1.794250 1.794750
1355318497 1.794350 005 8.972450 1.794250 1.794750
1355318529 1.794450 005 8.972150 1.794250 1.794650
1355318532 1.794550 006 10.766700 1.794250 1.794650
1355318532 1.794650 007 12.561350 1.794250 1.794650
1355318536 1.794550 007 12.561250 1.794250 1.794650
1355318553 1.794450 007 12.561250 1.794250 1.794650
1355318606 1.794550 002 3.589000 1.794450 1.794550
1355318610 1.794850 003 5.383850 1.794450 1.794850
1355318654 1.794750 003 5.384150 1.794550 1.794850
1355318659 1.794850 004 7.179000 1.794550 1.794850
1355318677 1.795050 003 5.384650 1.794750 1.795050
1355318686 1.795150 004 7.179800 1.794750 1.795150
1355318714 1.794950 004 7.180000 1.794850 1.795150
1355318714 1.794850 005 8.974850 1.794850 1.795150
1355318725 1.794950 005 8.974950 1.794850 1.795150
1355318769 1.794750 004 7.179500 1.794750 1.794950
1355318812 1.794650 002 3.589400 1.794650 1.794750
1355318812 1.794550 003 5.383950 1.794550 1.794750
1355318844 1.794350 003 5.383550 1.794350 1.794650
1355318869 1.794150 004 7.177700 1.794150 1.794650
1355318870 1.794250 005 8.971950 1.794150 1.794650
1355318893 1.794350 004 7.177100 1.794150 1.794350
1355318946 1.794250 002 3.588600 1.794250 1.794350
1355318956 1.794050 002 3.588300 1.794050 1.794250
1355318960 1.794150 003 5.382450 1.794050 1.794250
1355319033 1.794050 001 1.794050 1.794050 1.794050
1355319033 1.793850 002 3.587900 1.793850 1.794050
1355319088 1.793750 003 5.381650 1.793750 1.794050
1355319114 1.793850 002 3.587600 1.793750 1.793850
1355319117 1.793750 003 5.381350 1.793750 1.793850
1355319118 1.793650 004 7.175000 1.793650 1.793850
1355319153 1.793750 004 7.175000 1.793650 1.793850
1355319208 1.793950 002 3.587700 1.793750 1.793950
1355319209 1.794050 003 5.381750 1.793750 1.794050
1355319227 1.793950 003 5.381950 1.793950 1.794050
1355319313 1.794150 001 1.794150 1.794150 1.794150
1355319313 1.794050 002 3.588200 1.794050 1.794150
1355319336 1.794150 003 5.382350 1.794050 1.794150
1355319344 1.794350 004 7.176700 1.794050 1.794350
1355319352 1.794450 005 8.971150 1.794050 1.794450
1355319352 1.794550 006 10.765700 1.794050 1.794550
1355319355 1.794450 007 12.560150 1.794050 1.794550
1355319410 1.794750 004 7.178200 1.794450 1.794750
1355319513 1.794850 001 1.794850 1.794850 1.794850
1355319513 1.794750 002 3.589600 1.794750 1.794850
1355319540 1.795050 003 5.384650 1.794750 1.795050
1355319541 1.794950 004 7.179600 1.794750 1.795050
1355319548 1.794850 005 8.974450 1.794750 1.795050
1355319548 1.794950 006 10.769400 1.794750 1.795050
1355319564 1.795250 007 12.564650 1.794750 1.795250
1355319571 1.795050 008 14.359700 1.794750 1.795250
1355319581 1.795150 007 12.565250 1.794850 1.795250
1355319589 1.795050 008 14.360300 1.794850 1.795250
1355319592 1.795150 009 16.155450 1.794850 1.795250
1355319601 1.795250 008 14.360700 1.794850 1.795250
1355319650 1.795350 003 5.385750 1.795150 1.795350
1355319656 1.795250 003 5.385850 1.795250 1.795350
1355319672 1.795450 003 5.386050 1.795250 1.795450
1355319850 1.795550 001 1.795550 1.795550 1.795550
1355319876 1.795750 002 3.591300 1.795550 1.795750
1355319885 1.795850 003 5.387150 1.795550 1.795850
1355319902 1.795750 004 7.182900 1.795550 1.795850
1355319903 1.795850 005 8.978750 1.795550 1.795850
1355319914 1.795650 005 8.978850 1.795650 1.795850
1355319916 1.795850 006 10.774700 1.795650 1.795850
1355319926 1.795450 007 12.570150 1.795450 1.795850
1355319939 1.795550 007 12.569950 1.795450 1.795850
1355319963 1.795250 005 8.977750 1.795250 1.795850
1355319993 1.795350 003 5.386150 1.795250 1.795550
1355320001 1.795250 003 5.385850 1.795250 1.795350
1355320018 1.794950 004 7.180800 1.794950 1.795350
1355320027 1.794850 004 7.180400 1.794850 1.795350
1355320028 1.794750 005 8.975150 1.794750 1.795350
1355320028 1.794650 006 10.769800 1.794650 1.795350
1355320037 1.794750 007 12.564550 1.794650 1.795350
1355320049 1.794850 008 14.359400 1.794650 1.795350
1355320054 1.794950 008 14.359000 1.794650 1.795250
1355320064 1.794850 008 14.358600 1.794650 1.794950
1355320097 1.794750 004 7.179400 1.794750 1.794950
1355320102 1.794550 005 8.973950 1.794550 1.794950
1355320102 1.794650 006 10.768600 1.794550 1.794950
1355320108 1.794550 007 12.563150 1.794550 1.794950
1355320110 1.794650 007 12.562950 1.794550 1.794950
1355320111 1.794550 008 14.357500 1.794550 1.794950
1355320114 1.794450 008 14.357000 1.794450 1.794850
1355320114 1.794550 009 16.151550 1.794450 1.794850
1355320122 1.794350 010 17.945900 1.794350 1.794850
1355320135 1.794450 010 17.945500 1.794350 1.794750
1355320143 1.794650 011 19.740150 1.794350 1.794750
1355320150 1.794750 012 21.534900 1.794350 1.794750
1355320167 1.794850 010 17.945800 1.794350 1.794850
1355320200 1.794750 004 7.179000 1.794650 1.794850
1355320206 1.794850 004 7.179200 1.794750 1.794850
1355320235 1.794750 003 5.384350 1.794750 1.794850
1355320246 1.794850 004 7.179200 1.794750 1.794850
1355320258 1.794950 005 8.974150 1.794750 1.794950
1355320270 1.794850 004 7.179400 1.794750 1.794950
1355320270 1.794950 005 8.974350 1.794750 1.794950
1355320288 1.795050 006 10.769400 1.794750 1.795050
1355320288 1.795150 007 12.564550 1.794750 1.795150
1355320304 1.795050 007 12.564850 1.794850 1.795150
1355320306 1.794950 007 12.564950 1.794850 1.795150
1355320307 1.795050 008 14.360000 1.794850 1.795150
1355320317 1.794850 009 16.154850 1.794850 1.795150
